First Crack Detection Results
======================================================================

Audio file: data/raw/25-10-19_1103-costarica-hermosa-5.alog.wav
Total windows: 628
Threshold: 0.5
Window: 5.0s, Overlap: 80%
Min event duration: 2.0s
Pop confirmation: at least 3 pops within 30.0s; min gap merge 10.0s

Detected Events: 2
----------------------------------------------------------------------

Event 1:
  Start: 435.97s
  End: 471.97s
  Duration: 36.00s
  Confidence: 0.9990

Event 2:
  Start: 501.97s
  End: 621.96s
  Duration: 119.99s
  Confidence: 0.9999


======================================================================
All Window Predictions:
----------------------------------------------------------------------
Window 241:  240.98s -  250.98s | Prob: 0.0001
Window 242:  241.98s -  251.98s | Prob: 0.0001
Window 243:  242.98s -  252.98s | Prob: 0.0001
Window 244:  243.98s -  253.98s | Prob: 0.0001
Window 245:  244.98s -  254.98s | Prob: 0.0001
Window 246:  245.98s -  255.98s | Prob: 0.0001
Window 247:  246.98s -  256.98s | Prob: 0.0001
Window 248:  247.98s -  257.98s | Prob: 0.0001
Window 249:  248.98s -  258.98s | Prob: 0.0001
Window 250:  249.98s -  259.98s | Prob: 0.0001
Window 251:  250.98s -  260.98s | Prob: 0.0001
Window 252:  251.98s -  261.98s | Prob: 0.0001
Window 253:  252.98s -  262.98s | Prob: 0.0001
Window 254:  253.98s -  263.98s | Prob: 0.0001
Window 255:  254.98s -  264.98s | Prob: 0.0001
Window 256:  255.98s -  265.98s | Prob: 0.0001
Window 257:  256.98s -  266.98s | Prob: 0.0001
Window 258:  257.98s -  267.98s | Prob: 0.0001
Window 259:  258.98s -  268.98s | Prob: 0.0001
Window 260:  259.98s -  269.98s | Prob: 0.0001
Window 261:  260.98s -  270.98s | Prob: 0.0001
Window 262:  261.98s -  271.98s | Prob: 0.0001
Window 263:  262.98s -  272.98s | Prob: 0.0001
Window 264:  263.98s -  273.98s | Prob: 0.0001
Window 265:  264.98s -  274.98s | Prob: 0.0001
Window 266:  265.98s -  275.98s | Prob: 0.0001
Window 267:  266.98s -  276.98s | Prob: 0.0001
Window 268:  267.98s -  277.98s | Prob: 0.0001
Window 269:  268.98s -  278.98s | Prob: 0.0001
Window 270:  269.98s -  279.98s | Prob: 0.0001
Window 271:  270.98s -  280.98s | Prob: 0.0001
Window 272:  271.98s -  281.98s | Prob: 0.0001
Window 273:  272.98s -  282.98s | Prob: 0.0001
Window 274:  273.98s -  283.98s | Prob: 0.0002
Window 275:  274.98s -  284.98s | Prob: 0.0001
Window 276:  275.98s -  285.98s | Prob: 0.0001
Window 277:  276.98s -  286.98s | Prob: 0.0001
Window 278:  277.98s -  287.98s | Prob: 0.0001
Window 279:  278.98s -  288.98s | Prob: 0.0001
Window 280:  279.98s -  289.98s | Prob: 0.0001
Window 281:  280.98s -  290.98s | Prob: 0.0002
Window 282:  281.98s -  291.98s | Prob: 0.0002
Window 283:  282.98s -  292.98s | Prob: 0.0002
Window 284:  283.98s -  293.98s | Prob: 0.0001
Window 285:  284.98s -  294.98s | Prob: 0.0001
Window 286:  285.98s -  295.98s | Prob: 0.0001
Window 287:  286.98s -  296.98s | Prob: 0.0001
Window 288:  287.98s -  297.98s | Prob: 0.0000
Window 289:  288.98s -  298.98s | Prob: 0.0000
Window 290:  289.98s -  299.98s | Prob: 0.0000
Window 291:  290.98s -  300.98s | Prob: 0.0000
Window 292:  291.98s -  301.98s | Prob: 0.0000
Window 293:  292.98s -  302.98s | Prob: 0.0000
Window 294:  293.98s -  303.98s | Prob: 0.0001
Window 295:  294.98s -  304.98s | Prob: 0.0001
Window 296:  295.98s -  305.98s | Prob: 0.0001
Window 297:  296.98s -  306.98s | Prob: 0.0001
Window 298:  297.98s -  307.98s | Prob: 0.0001
Window 299:  298.98s -  308.98s | Prob: 0.0001
Window 300:  299.98s -  309.98s | Prob: 0.0002
Window 301:  300.98s -  310.98s | Prob: 0.0002
Window 302:  301.98s -  311.98s | Prob: 0.0001
Window 303:  302.98s -  312.98s | Prob: 0.0002
Window 304:  303.98s -  313.98s | Prob: 0.0002
Window 305:  304.98s -  314.98s | Prob: 0.0001
Window 306:  305.98s -  315.98s | Prob: 0.0002
